Z[ ,1]	Z[ ,2]	Z[ ,3]	Z[ ,4]	Z[ ,5]	Z[ ,6]	Z[ ,7]
1	0	1	1	1	4	9
1	0	0	1	1	1	6
1	0	1	0	1	5	10
1	1	1	1	1	8	10
1	0	0	1	1	1	9
1	1	0	1	1	5	7
1	0	0	1	1	2	6
1	0	0	1	1	3	10
1	1	0	1	1	3	6
1	0	0	0	1	2	4
1	0	1	1	1	3	10
1	0	0	1	1	6	8
1	0	0	1	1	3	10
1	0	1	0	1	2	9
1	0	0	0	1	7	8
1	0	0	1	1	2	8
1	0	0	1	1	5	8
1	0	1	0	0	0	8
1	1	0	1	0	2	6
1	0	0	0	1	2	8
1	0	0	1	1	3	7
1	1	0	1	0	1	3
1	0	1	1	1	6	8
1	0	0	1	1	6	10
1	0	0	1	1	3	8
1	0	0	1	1	2	10
1	0	1	1	0	0	6
1	0	0	1	1	3	8
1	0	1	1	0	4	10
1	0	0	0	1	1	7
1	0	0	0	1	1	7
1	0	1	1	1	3	10
1	0	0	1	1	2	8
1	0	0	1	1	4	10
1	0	0	1	1	5	9
1	1	0	1	1	1	3
1	0	0	0	0	3	3
1	0	0	1	1	2	7
1	1	0	1	1	2	4
1	1	0	1	1	4	7
1	0	0	1	1	3	7
1	0	0	1	1	3	8
1	0	1	0	1	2	9
1	0	1	1	1	6	10
1	1	0	1	1	2	7
1	0	0	1	1	6	9
1	0	0	1	0	2	4
1	0	0	1	1	4	10
1	1	1	1	1	1	4
1	1	0	0	1	3	8
1	0	1	1	1	5	10
1	0	1	1	1	3	8
1	0	0	0	0	0	6
1	1	1	1	0	4	8
1	0	1	1	1	3	7
1	1	1	1	1	3	8
1	0	0	1	1	2	8
1	0	0	0	1	4	9
1	0	0	0	1	2	8
1	1	0	1	1	4	8
1	1	0	1	1	5	6
1	0	1	1	1	6	10
1	1	1	1	1	1	6
1	0	0	0	1	2	10
1	0	0	1	1	5	9
1	0	1	1	0	2	6
1	0	0	1	1	3	8
1	0	0	1	1	3	5
1	0	1	0	1	5	10
1	0	1	1	1	7	10
1	1	0	1	1	5	7
1	1	0	1	1	2	4
1	1	0	1	1	4	8
1	0	0	1	1	4	9
1	1	0	1	1	3	6
1	0	0	1	1	3	6
1	0	0	1	1	3	4
1	0	0	1	1	6	10
1	0	0	0	0	0	6
1	0	1	1	1	4	10
1	0	0	0	0	1	6
1	0	1	1	1	6	10
1	0	1	1	1	4	10
1	1	0	1	1	3	9
1	0	0	1	1	3	8
1	1	1	1	0	2	8
1	0	0	1	1	5	5
1	0	0	1	1	2	8
1	1	0	1	1	2	6
1	0	0	0	1	3	10
1	0	1	1	0	2	10
1	1	0	1	1	2	9
1	1	1	1	1	2	8
1	0	0	0	1	3	8
1	1	0	1	1	3	6
1	0	0	1	1	4	10
1	0	0	1	1	1	10
1	0	1	1	1	2	7
1	0	0	0	0	2	7
1	0	1	1	1	5	8
1	0	0	1	1	4	10
1	0	0	1	0	2	4
1	0	0	1	1	3	4
1	1	0	1	1	2	4
1	0	0	0	1	4	4
1	0	0	1	1	2	5
1	0	0	1	1	6	7
1	0	0	0	1	6	8
1	0	0	0	0	2	8
1	0	0	0	0	2	6
1	0	0	1	1	4	9
1	0	0	1	1	3	6
1	0	1	1	1	3	8
1	1	1	1	1	2	6
1	0	0	1	1	3	6
1	0	1	1	1	3	7
1	1	0	1	1	3	6
1	0	0	0	1	1	5
1	1	0	1	1	2	8
1	0	0	0	1	3	10
1	0	1	1	1	3	10
1	0	0	0	1	1	6
1	0	0	1	1	2	8
1	0	0	1	1	3	8
1	1	1	1	1	4	4
1	0	0	1	1	3	8
1	0	0	1	1	4	8
1	0	0	1	0	3	10
1	0	0	1	1	3	10
1	0	1	1	1	3	9
1	1	0	1	1	4	7
1	1	0	0	1	1	7
1	1	0	1	1	2	8
1	1	0	1	1	4	8
1	0	0	1	1	4	8
1	0	0	1	0	0	4
1	0	0	1	0	1	8
1	1	0	1	1	2	7
1	1	0	1	1	4	7
1	0	0	1	1	2	8
1	1	0	1	0	0	4
1	1	1	1	1	4	8
1	0	0	1	1	2	8
1	0	0	1	1	6	9
1	0	0	0	1	6	7
1	0	1	1	1	6	8
1	1	0	0	1	2	5
1	0	0	1	1	4	7
1	1	0	1	0	1	4
1	0	0	1	1	3	8
1	0	1	0	0	0	10
1	0	0	1	1	3	8
1	1	0	1	1	1	5
1	0	0	1	1	2	9
1	0	0	1	1	4	8
1	0	0	1	0	3	7
1	0	0	0	1	1	7
1	1	1	1	1	7	10
1	1	1	1	1	5	10
1	0	0	1	1	2	4
1	1	0	1	0	3	4
1	0	1	0	1	6	9
1	1	0	1	0	2	6
1	1	0	1	1	2	8
1	0	1	0	1	4	10
1	0	1	1	1	4	8
1	0	1	1	1	3	10
1	0	1	0	1	5	9
1	0	0	1	1	5	9
1	0	0	0	1	6	7
1	0	0	1	1	5	8
1	0	1	1	1	3	4
1	0	1	1	1	3	8
1	0	0	1	1	3	7
1	0	0	1	1	0	6
1	1	0	1	1	2	7
1	0	0	0	1	4	10
1	1	0	1	0	3	8
1	0	0	1	1	2	7
1	0	0	0	1	5	6
1	0	0	1	1	4	10
1	0	1	1	1	5	10
1	0	0	1	1	8	8
1	1	0	1	1	1	7
1	0	1	0	0	4	6
1	0	0	1	0	1	7
1	0	1	1	0	2	10
1	0	0	1	1	3	10
1	0	0	0	1	4	8
1	1	0	1	1	2	4
END

