8.00 42.90 19.80 43.41 10.00 70.00 1.00  15.00  "ford galaxie 500"
6.00 23.10 10.50 33.80 15.80 78.00 1.00  20.60  "buick century special"
6.00 25.00 8.80 31.39 14.50 71.00 1.00  18.00  "ford mustang"
4.00 9.80 6.80 21.55 16.50 78.00 1.00  30.00  "chevrolet chevette"
4.00 11.30 9.50 22.78 15.50 72.00 3.00  24.00  "toyota corona hardtop"
6.00 23.20 9.00 30.85 17.60 76.00 1.00  22.50  "amc hornet"
8.00 45.50 22.50 44.25 10.00 70.00 1.00  14.00  "pontiac catalina"
4.00 8.50 7.00 20.70 18.60 78.00 3.00  39.40  "datsun b210 gx"
6.00 25.00 10.50 34.59 16.00 75.00 1.00  18.00  "chevrolet nova"
4.00 10.50 7.00 21.50 14.90 79.00 1.00  34.50  "plymouth horizon tc3"
4.00 12.10 7.60 25.11 18.00 72.00 2.00  22.00  "volkswagen 411 (sw)"
4.00 8.60 6.40 18.75 16.40 81.00 1.00  39.00  "plymouth champ"
6.00 25.00 8.80 30.21 16.50 73.00 1.00  18.00  "ford maverick"
4.00 8.50 5.20 20.35 22.20 76.00 1.00  29.00  "chevrolet chevette"
4.00 12.10 11.20 29.33 14.50 72.00 2.00  18.00  "volvo 145e (sw)"
4.00 15.10 8.50 28.55 17.60 78.00 1.00  23.80  "oldsmobile starfire sx"
6.00 25.80 12.00 34.10 15.10 78.00 1.00  18.10  "amc concord d/l"
6.00 25.80 11.00 36.32 18.00 74.00 1.00  16.00  "amc matador"
4.00 10.70 7.50 22.10 14.40 81.00 3.00  33.70  "honda prelude"
6.00 20.00 8.10 30.12 17.60 76.00 1.00  24.00  "ford maverick"
4.00 15.10 8.80 27.40 16.00 77.00 1.00  24.50  "pontiac sunbird coupe"
8.00 35.00 15.50 43.60 14.90 79.00 1.00  16.90  "buick estate wagon (sw)"
4.00 9.10 6.80 20.25 18.20 82.00 3.00  37.00  "mazda glc custom l"
4.00 14.00 7.80 25.92 18.50 75.00 1.00  23.00  "pontiac astro"
4.00 11.90 9.70 23.00 14.70 78.00 3.00  27.20  "datsun 510"
8.00 26.70 12.50 36.05 15.00 79.00 1.00  19.20  "chevrolet malibu classic (sw)"
6.00 25.00 10.00 32.78 18.00 73.00 1.00  16.00  "chevrolet nova custom"
4.00 9.70 5.20 21.30 24.60 82.00 2.00  44.00  "vw pickup"
4.00 9.70 5.40 22.54 23.50 72.00 2.00  23.00  "volkswagen type 3"
6.00 25.00 10.00 37.81 17.00 74.00 1.00  16.00  "chevrolet chevelle malibu classic"
8.00 26.00 9.00 34.20 22.20 79.00 1.00  23.90  "oldsmobile cutlass salon brougham"
4.00 11.20 8.80 23.95 18.00 82.00 1.00  34.00  "chevrolet cavalier 2-door"
8.00 31.80 14.00 40.80 13.70 78.00 1.00  17.50  "dodge magnum xe"
4.00 9.70 8.80 21.30 14.50 71.00 3.00  27.00  "datsun pl510"
4.00 14.10 7.10 31.90 24.80 79.00 2.00  27.20  "peugeot 504"
4.00 7.90 5.80 18.25 18.60 77.00 2.00  36.00  "renault 5 gtl"
6.00 14.60 12.00 29.30 13.80 81.00 3.00  24.20  "datsun 810 maxima"
6.00 25.80 11.00 29.62 13.50 71.00 1.00  18.00  "amc hornet sportabout (sw)"
4.00 14.00 9.20 28.65 16.40 82.00 1.00  24.00  "ford fairmont futura"
4.00 9.10 5.30 17.95 17.40 76.00 3.00  33.00  "honda civic"
8.00 30.40 15.00 36.72 11.50 72.00 1.00  17.00  "amc ambassador sst"
4.00 9.70 8.80 21.30 14.50 70.00 3.00  27.00  "datsun pl510"
6.00 23.10 10.50 35.35 19.20 78.00 1.00  19.20  "pontiac phoenix lj"
4.00 9.00 7.00 19.37 14.20 76.00 2.00  29.00  "vw rabbit"
4.00 9.80 8.00 21.64 15.00 72.00 1.00  28.00  "dodge colt (sw)"
4.00 15.10 9.00 27.35 18.00 82.00 1.00  27.00  "pontiac phoenix"
4.00 9.80 6.50 23.80 20.70 81.00 1.00  29.90  "ford escort 2h"
4.00 9.80 7.00 21.25 17.30 82.00 1.00  36.00  "mercury lynx l"
4.00 12.10 8.00 26.70 15.00 79.00 1.00  27.40  "amc spirit dl"
8.00 35.00 18.00 44.99 12.50 73.00 1.00  12.00  "oldsmobile vista cruiser"
6.00 14.50 7.60 31.60 19.60 81.00 2.00  30.70  "volvo diesel"
4.00 9.80 6.80 20.45 18.50 77.00 3.00  31.50  "honda accord cvcc"
6.00 20.00 9.50 31.55 18.20 78.00 1.00  20.50  "chevrolet malibu"
4.00 14.00 9.00 24.08 19.50 72.00 1.00  20.00  "chevrolet vega"
4.00 9.60 6.90 21.89 18.00 72.00 2.00  26.00  "renault 12 (sw)"
8.00 26.00 11.00 33.65 15.50 78.00 1.00  19.90  "oldsmobile cutlass salon brougham"
4.00 10.80 9.30 23.91 15.50 74.00 3.00  26.00  "subaru"
8.00 30.50 14.50 38.80 12.50 77.00 1.00  17.50  "chevrolet caprice classic"
8.00 40.00 15.00 37.61 9.50 70.00 1.00  15.00  "chevrolet monte carlo"
4.00 8.80 7.60 20.65 14.50 71.00 2.00  30.00  "fiat 124b"
4.00 15.60 10.50 27.45 16.70 78.00 1.00  23.20  "plymouth sapporo"
8.00 44.00 21.50 47.35 11.00 73.00 1.00  13.00  "chrysler new yorker brougham"
4.00 9.70 4.60 18.35 20.50 70.00 2.00  26.00  "volkswagen 1131 deluxe sedan"
8.00 39.00 19.00 38.50 8.50 70.00 1.00  15.00  "amc ambassador dpl"
4.00 7.90 6.70 20.00 16.00 74.00 2.00  31.00  "fiat x1.9"
4.00 11.90 9.70 24.05 14.90 78.00 3.00  23.90  "datsun 200-sx"
6.00 25.00 7.20 31.58 19.50 75.00 1.00  15.00  "ford maverick"
8.00 35.10 15.80 43.63 13.00 73.00 1.00  13.00  "ford ltd"
6.00 19.80 9.50 28.33 15.50 70.00 1.00  22.00  "plymouth duster"
4.00 12.20 9.60 23.00 15.50 77.00 1.00  25.50  "plymouth arrow gs"
8.00 35.00 14.50 40.82 13.00 73.00 1.00  15.00  "chevrolet monte carlo s"
4.00 12.00 7.90 26.25 18.60 82.00 1.00  28.00  "ford ranger"
4.00 7.60 5.20 16.49 16.50 74.00 3.00  31.00  "toyota corona"
8.00 35.00 17.50 41.00 13.00 73.00 1.00  13.00  "buick century 350"
4.00 12.20 8.60 22.20 14.00 71.00 1.00  23.00  "mercury capri 2000"
5.00 13.10 10.30 28.30 15.90 78.00 2.00  20.30  "audi 5000"
4.00 9.10 6.70 18.50 13.80 80.00 3.00  44.60  "honda civic 1500 gl"
6.00 25.00 10.00 33.36 17.00 74.00 1.00  15.00  "chevrolet nova"
8.00 30.50 14.50 34.25 13.20 78.00 1.00  19.20  "chevrolet monte carlo landau"
8.00 36.00 17.50 38.21 11.00 73.00 1.00  13.00  "amc ambassador brougham"
8.00 31.80 14.50 41.40 13.70 77.00 1.00  15.50  "dodge monaco brougham"
4.00 9.80 7.90 22.55 17.70 76.00 1.00  26.00  "dodge colt"
8.00 31.80 15.00 33.99 11.00 73.00 1.00  15.00  "dodge dart custom"
6.00 23.20 10.00 27.89 15.00 73.00 1.00  18.00  "amc gremlin"
8.00 40.00 17.50 51.40 12.00 71.00 1.00  13.00  "pontiac safari (sw)"
8.00 40.00 16.70 49.06 12.50 73.00 1.00  12.00  "ford country"
8.00 35.00 17.00 41.65 11.40 77.00 1.00  15.50  "chevrolet monte carlo landau"
4.00 12.20 8.60 23.95 16.00 72.00 1.00  22.00  "ford pinto (sw)"
4.00 12.00 8.80 21.60 14.50 82.00 3.00  36.00  "nissan stanza xe"
4.00 9.10 6.00 18.00 16.40 78.00 3.00  36.10  "honda civic cvcc"
4.00 14.40 9.60 26.65 13.90 82.00 3.00  32.00  "toyota celica gt"
6.00 19.90 9.00 26.48 15.00 70.00 1.00  21.00  "amc gremlin"
8.00 35.10 13.80 39.55 13.20 79.00 1.00  16.50  "mercury grand marquis"
4.00 13.50 8.40 25.25 16.00 82.00 1.00  29.00  "dodge aries se"
8.00 38.30 18.00 49.55 11.50 71.00 1.00  12.00  "dodge monaco (sw)"
4.00 9.10 6.70 19.65 15.00 82.00 3.00  38.00  "honda civic"
4.00 9.70 7.80 21.88 15.80 80.00 2.00  34.30  "audi 4000"
6.00 19.90 9.70 27.74 15.50 70.00 1.00  18.00  "amc hornet"
4.00 13.40 9.00 27.11 15.50 80.00 3.00  29.80  "toyota corona liftback"
8.00 30.20 13.00 38.70 15.00 76.00 1.00  13.00  "ford f108"
8.00 40.00 17.00 47.46 12.00 71.00 1.00  13.00  "ford country squire (sw)"
8.00 30.50 13.00 38.40 15.40 79.00 1.00  17.00  "chevrolet caprice classic"
4.00 12.00 8.80 32.70 21.90 76.00 2.00  19.00  "peugeot 504"
4.00 11.20 8.50 25.75 16.20 82.00 1.00  31.00  "pontiac j2000 se hatchback"
4.00 9.10 6.80 19.70 17.60 82.00 3.00  31.00  "mazda glc custom"
8.00 26.20 11.00 32.21 13.50 75.00 1.00  20.00  "chevrolet monza 2+2"
8.00 35.10 14.90 43.35 14.50 77.00 1.00  16.00  "ford thunderbird"
6.00 17.30 11.50 25.95 11.30 79.00 1.00  28.80  "chevrolet citation"
4.00 12.00 8.70 29.79 19.50 72.00 2.00  21.00  "peugeot 504 (sw)"
4.00 10.70 7.50 22.05 14.50 82.00 3.00  36.00  "honda accord"
8.00 35.00 12.50 39.00 17.40 79.00 1.00  23.00  "cadillac eldorado"
4.00 9.00 7.00 19.37 14.00 75.00 2.00  29.00  "volkswagen rabbit"
6.00 16.30 13.30 34.10 15.80 78.00 2.00  16.20  "peugeot 604sl"
8.00 45.50 22.50 49.51 11.00 73.00 1.00  12.00  "buick electra 225 custom"
4.00 9.10 6.70 19.95 16.20 82.00 3.00  38.00  "datsun 310 gx"
4.00 8.10 6.00 17.60 16.10 81.00 3.00  35.10  "honda civic 1300"
8.00 31.80 15.00 41.90 13.00 76.00 1.00  16.00  "dodge coronet brougham"
8.00 30.20 14.00 41.41 14.00 74.00 1.00  16.00  "ford gran torino"
4.00 12.00 9.70 24.89 15.00 74.00 3.00  24.00  "honda civic"
8.00 35.00 10.50 37.25 19.00 81.00 1.00  26.60  "oldsmobile cutlass ls"
4.00 9.70 7.80 21.90 14.10 77.00 2.00  30.50  "volkswagen dasher"
4.00 11.20 8.80 26.05 19.60 82.00 1.00  28.00  "chevrolet cavalier"
4.00 9.80 7.00 21.20 15.50 80.00 1.00  32.10  "chevrolet chevette"
6.00 22.50 10.00 32.33 15.40 76.00 1.00  22.00  "plymouth valiant"
6.00 22.50 8.50 34.65 16.60 81.00 1.00  17.60  "chrysler lebaron salon"
4.00 11.20 8.80 26.40 18.60 82.00 1.00  27.00  "chevrolet cavalier wagon"
6.00 20.00 8.80 30.60 17.10 81.00 1.00  20.20  "ford granada gl"
8.00 30.40 15.00 42.57 15.50 74.00 1.00  14.00  "amc matador (sw)"
4.00 15.10 9.00 26.78 16.50 80.00 1.00  28.00  "chevrolet citation"
8.00 44.00 21.50 43.12 8.50 70.00 1.00  14.00  "plymouth fury iii"
4.00 11.30 9.50 22.28 14.00 71.00 3.00  25.00  "toyota corona"
8.00 30.20 13.90 32.05 11.20 78.00 1.00  18.10  "ford futura"
8.00 36.00 21.50 46.15 14.00 70.00 1.00  10.00  "ford f250"
8.00 40.00 19.00 44.22 12.50 72.00 1.00  13.00  "chrysler newport royal"
8.00 35.00 15.00 46.99 14.50 74.00 1.00  13.00  "buick century luxus (sw)"
4.00 12.20 8.60 22.26 16.50 72.00 1.00  21.00  "ford pinto runabout"
6.00 25.00 10.50 38.97 18.50 75.00 1.00  16.00  "chevroelt chevelle malibu"
8.00 30.20 13.90 35.70 12.80 78.00 1.00  20.20  "mercury monarch ghia"
8.00 42.90 19.80 49.52 11.50 73.00 1.00  12.00  "mercury marquis brougham"
6.00 17.30 11.50 27.00 12.90 79.00 1.00  26.80  "oldsmobile omega brougham"
4.00 7.90 6.70 19.63 15.50 74.00 2.00  26.00  "volkswagen dasher"
4.00 8.60 6.50 21.10 17.90 80.00 3.00  46.60  "mazda glc"
4.00 8.90 6.20 20.50 17.30 81.00 3.00  37.70  "toyota tercel"
4.00 10.50 6.30 22.15 14.90 81.00 1.00  34.70  "plymouth horizon 4"
4.00 14.00 9.00 22.64 15.50 71.00 1.00  28.00  "chevrolet vega 2300"
8.00 35.00 16.50 42.74 12.00 72.00 1.00  13.00  "chevrolet impala"
4.00 9.80 8.00 19.15 14.40 79.00 1.00  35.70  "dodge colt hatchback custom"
8.00 30.70 20.00 43.76 15.00 70.00 1.00  10.00  "chevy c20"
8.00 30.40 12.00 39.62 13.90 76.00 1.00  15.50  "amc matador"
8.00 30.50 14.00 42.15 13.00 76.00 1.00  17.50  "chevrolet chevelle malibu classic"
4.00 13.50 8.40 24.90 15.70 81.00 1.00  27.20  "plymouth reliant"
4.00 15.60 9.20 26.20 14.40 81.00 1.00  25.80  "dodge aries wagon (sw)"
4.00 10.50 6.30 21.25 14.70 82.00 1.00  38.00  "plymouth horizon miser"
6.00 25.00 10.00 32.82 15.00 71.00 1.00  19.00  "pontiac firebird"
4.00 14.00 8.80 28.90 17.30 79.00 1.00  22.30  "ford fairmont 4"
8.00 35.10 15.30 41.54 13.50 71.00 1.00  14.00  "ford galaxie 500"
6.00 25.00 10.50 33.53 14.50 76.00 1.00  22.00  "chevrolet nova"
6.00 22.50 9.50 32.64 16.00 75.00 1.00  19.00  "plymouth valiant custom"
4.00 14.00 7.20 24.01 19.50 73.00 1.00  21.00  "chevrolet vega"
6.00 25.00 11.00 35.20 16.40 77.00 1.00  17.50  "chevrolet concours"
8.00 31.80 13.50 38.30 15.20 79.00 1.00  18.20  "dodge st. regis"
4.00 9.70 7.50 21.55 16.40 76.00 3.00  28.00  "toyota corolla"
4.00 11.60 7.50 21.58 15.50 73.00 2.00  24.00  "opel manta"
8.00 42.90 20.80 46.33 11.00 72.00 1.00  11.00  "mercury marquis"
4.00 15.10 9.00 25.56 13.20 79.00 1.00  33.50  "pontiac phoenix"
4.00 9.80 6.80 21.35 16.60 78.00 3.00  29.50  "honda accord lx"
8.00 30.40 19.30 47.32 18.50 70.00 1.00  9.00  "hi 1200d"
4.00 6.80 4.90 18.67 19.50 73.00 2.00  29.00  "fiat 128"
4.00 14.00 8.30 26.39 17.00 75.00 1.00  23.00  "ford pinto"
4.00 11.90 9.70 25.45 17.00 75.00 3.00  24.00  "datsun 710"
4.00 7.90 5.80 17.55 16.90 81.00 3.00  39.10  "toyota starlet"
8.00 31.80 15.00 41.35 13.50 72.00 1.00  15.00  "plymouth fury iii"
4.00 14.10 8.00 32.30 20.40 81.00 2.00  28.10  "peugeot 505s turbo diesel"
4.00 9.70 8.80 22.79 19.00 73.00 3.00  20.00  "toyota carina"
4.00 11.90 8.20 27.20 19.40 82.00 1.00  31.00  "chevy s-10"
4.00 15.10 9.00 30.03 20.10 80.00 1.00  24.30  "amc concord"
4.00 13.50 8.40 23.85 12.90 81.00 1.00  30.00  "plymouth reliant"
4.00 9.75 8.00 21.26 17.00 72.00 1.00  25.00  "dodge colt hardtop"
8.00 31.80 15.00 44.98 14.50 75.00 1.00  16.00  "plymouth grand fury"
4.00 12.10 9.80 29.45 14.50 75.00 2.00  22.00  "volvo 244dl"
4.00 9.80 6.50 20.45 16.20 81.00 1.00  34.40  "ford escort 4w"
6.00 23.20 9.00 32.65 18.20 79.00 1.00  20.20  "amc concord dl 6"
8.00 30.20 12.90 37.25 13.40 79.00 1.00  17.60  "ford ltd landau"
5.00 12.10 6.70 29.50 19.90 80.00 2.00  36.40  "audi 5000s (diesel)"
6.00 16.80 11.60 29.00 12.60 81.00 3.00  25.40  "toyota cressida"
4.00 9.70 7.80 23.00 14.50 74.00 2.00  26.00  "opel manta"
4.00 15.60 10.50 28.00 14.40 80.00 1.00  27.90  "dodge colt"
4.00 12.10 11.50 27.95 15.70 78.00 2.00  21.60  "saab 99gle"
4.00 13.50 8.40 23.70 13.00 82.00 1.00  36.00  "dodge charger 2.2"
4.00 14.00 8.90 27.55 15.80 77.00 1.00  25.50  "ford mustang ii 2+2"
4.00 12.10 11.50 26.71 13.50 75.00 2.00  25.00  "saab 99le"
8.00 40.00 17.00 46.68 11.50 75.00 1.00  16.00  "pontiac catalina"
6.00 23.20 9.00 32.10 17.20 78.00 1.00  19.40  "amc concord"
4.00 10.80 7.00 22.45 16.90 82.00 3.00  34.00  "toyota corolla"
8.00 34.00 16.00 36.09 8.00 70.00 1.00  14.00  "plymouth 'cuda 340"
8.00 35.00 14.50 40.55 12.00 76.00 1.00  13.00  "chevy c10"
4.00 7.10 6.50 18.36 21.00 74.00 3.00  32.00  "toyota corolla 1200"
4.00 9.70 6.70 21.45 18.00 80.00 3.00  33.80  "subaru dl"
4.00 9.00 4.80 20.85 21.70 80.00 2.00  44.30  "vw rabbit c (diesel)"
4.00 13.40 9.50 25.15 14.80 78.00 3.00  21.10  "toyota celica gt liftback"
8.00 31.80 21.00 43.82 13.50 70.00 1.00  11.00  "dodge d200"
4.00 9.70 4.60 19.50 21.00 73.00 2.00  26.00  "volkswagen super beetle"
6.00 25.00 11.00 36.45 16.20 76.00 1.00  18.50  "pontiac ventura sj"
4.00 10.50 7.40 19.80 15.30 82.00 2.00  36.00  "volkswagen rabbit l"
4.00 9.80 6.00 21.64 22.10 76.00 1.00  24.50  "chevrolet woody"
4.00 8.50 7.00 19.90 17.00 76.00 3.00  32.00  "datsun b-210"
8.00 40.00 15.00 44.64 12.00 73.00 1.00  13.00  "chevrolet caprice classic"
6.00 25.00 7.80 35.74 21.00 76.00 1.00  18.00  "ford granada ghia"
4.00 7.90 6.70 19.50 19.00 74.00 3.00  31.00  "datsun b210"
4.00 10.50 7.50 22.30 14.50 78.00 1.00  30.90  "dodge omni"
6.00 23.10 16.50 34.45 13.40 78.00 1.00  17.70  "buick regal sport coupe (turbo)"
6.00 22.50 10.00 36.30 17.70 77.00 1.00  19.00  "plymouth volare custom"
6.00 23.20 10.00 26.34 13.00 71.00 1.00  19.00  "amc gremlin"
4.00 10.80 9.40 23.79 16.50 73.00 3.00  22.00  "datsun 610"
8.00 30.20 12.90 31.69 12.00 75.00 1.00  13.00  "ford mustang ii"
4.00 12.00 7.50 25.42 17.50 80.00 3.00  31.30  "mazda 626"
6.00 16.80 12.00 38.20 16.70 76.00 2.00  16.50  "mercedes-benz 280s"
6.00 19.80 9.50 29.04 16.00 73.00 1.00  23.00  "plymouth duster"
8.00 40.00 23.00 42.78 9.50 73.00 1.00  16.00  "pontiac grand prix"
6.00 20.00 8.50 25.87 16.00 70.00 1.00  21.00  "ford maverick"
4.00 10.70 9.00 24.30 14.50 70.00 2.00  24.00  "audi 100 ls"
8.00 31.80 15.00 44.57 13.50 74.00 1.00  14.00  "dodge coronet custom (sw)"
8.00 35.10 14.20 40.54 14.30 79.00 1.00  15.50  "ford country squire (sw)"
8.00 36.00 17.00 46.54 13.00 73.00 1.00  13.00  "plymouth custom suburb"
8.00 40.00 17.50 43.85 12.00 72.00 1.00  14.00  "pontiac catalina"
8.00 31.80 15.00 42.37 14.50 73.00 1.00  14.00  "plymouth fury gran sedan"
8.00 40.00 15.00 49.97 14.00 73.00 1.00  11.00  "chevrolet impala"
6.00 22.50 10.50 31.21 16.50 73.00 1.00  18.00  "plymouth valiant"
4.00 14.00 7.50 25.42 17.00 74.00 1.00  25.00  "chevrolet vega"
4.00 9.70 7.50 22.65 18.20 77.00 3.00  26.00  "toyota corolla liftback"
4.00 10.50 7.40 21.90 14.20 81.00 2.00  33.00  "volkswagen jetta"
4.00 9.80 6.60 18.00 14.40 78.00 1.00  36.10  "ford fiesta"
8.00 30.20 13.70 40.42 14.50 73.00 1.00  14.00  "ford gran torino"
4.00 9.80 7.60 21.44 14.70 80.00 2.00  41.50  "vw rabbit"
4.00 15.10 9.00 29.50 17.30 82.00 1.00  27.00  "chevrolet camaro"
6.00 22.50 10.50 36.13 16.50 74.00 1.00  18.00  "plymouth satellite sebring"
4.00 10.50 7.00 22.00 13.20 79.00 1.00  34.20  "plymouth horizon"
8.00 36.00 15.00 39.40 13.00 79.00 1.00  18.50  "chrysler lebaron town @ country (sw)"
8.00 31.80 15.00 40.96 13.00 71.00 1.00  14.00  "plymouth fury iii"
8.00 31.80 15.00 37.55 14.00 76.00 1.00  13.00  "dodge d100"
6.00 22.50 10.00 34.30 17.20 78.00 1.00  20.50  "plymouth volare"
4.00 8.90 6.00 19.68 18.80 80.00 3.00  38.10  "toyota corolla tercel"
4.00 10.40 9.50 23.75 17.50 70.00 2.00  25.00  "saab 99e"
6.00 23.10 10.50 34.25 16.90 77.00 1.00  20.50  "buick skylark"
5.00 18.30 7.70 35.30 20.10 79.00 2.00  25.40  "mercedes benz 300d"
4.00 9.80 8.30 20.75 15.90 77.00 1.00  33.50  "dodge colt m/m"
4.00 9.70 6.70 20.65 17.80 81.00 3.00  32.30  "subaru"
6.00 22.50 9.50 37.85 19.00 75.00 1.00  18.00  "plymouth fury"
4.00 9.10 6.70 19.65 15.70 82.00 3.00  32.00  "honda civic (auto)"
4.00 7.90 7.00 20.74 19.50 71.00 2.00  30.00  "peugeot 304"
4.00 11.10 8.00 21.55 14.80 77.00 1.00  30.00  "buick opel isuzu deluxe"
4.00 8.60 6.50 19.75 15.20 79.00 3.00  34.10  "maxda glc deluxe"
8.00 38.30 17.00 35.63 10.00 70.00 1.00  15.00  "dodge challenger se"
4.00 9.00 7.10 22.23 16.50 75.00 2.00  25.00  "volkswagen dasher"
8.00 35.10 14.80 46.57 13.50 75.00 1.00  14.00  "ford ltd"
8.00 40.00 18.00 42.20 11.10 77.00 1.00  16.00  "pontiac grand prix lj"
4.00 11.40 9.10 25.82 14.00 73.00 2.00  20.00  "audi 100ls"
6.00 16.80 13.20 29.10 11.40 80.00 3.00  32.70  "datsun 280-zx"
4.00 7.20 6.90 16.13 18.00 71.00 3.00  35.00  "datsun 1200"
4.00 15.10 9.00 26.70 16.00 79.00 1.00  28.40  "buick skylark limited"
8.00 35.00 16.50 42.09 12.00 71.00 1.00  14.00  "chevrolet impala"
4.00 8.90 7.10 19.90 14.90 78.00 2.00  31.50  "volkswagen scirocco"
4.00 9.80 8.30 22.19 16.50 74.00 2.00  29.00  "audi fox"
4.00 11.60 8.10 22.20 16.90 76.00 2.00  25.00  "opel 1900"
