.02	.001	.001	.12	.08	.42	1.72	.05
.01	.01	.003	.001	.003	.27	.001	.06
.05	2.13	.04	1.10	.02	.001	.14	.08
.21	.07	.32	.24	.29	.001	.29	1.13
.003	.01	.19	.002	.01	.04	.002	.07
.45	.01	.18	.67	.003	.01	.04	.002
.49	.02	.02	.34	.14	.37	.33	.33
.35	.01	.50	.76	1.06	.002	.06	.16
.27	.25	.29	.02	.05	.46	.07	.41
.02	.08	.21	.01	.44	.02	.05	.11
1.50	.003	.18	.01	.002	.24	.01	.75
.01	.14	.13	.01	.01	.27	.45	1.78
.25	.24	.004	.21	.17	.83	.15	.03
.03	.50	.04	.09	.04	.06	.06	.12
.003	.003	.40	.02	.51	.003	.02	.02
.02	.01	.001	.14	.001	.10	.01	1.09
.01	.002	.001	.84	.03	.35	.07	.001
.002	.002	.20	.06	.14	.01	.02	.02
.002	.001	.55	.13	.19	2.10	.09	.35
.79	.32	1.35	.17	.02	.002	.01	.25
.23	.17	.01	.02	.001	.01	.02	.11
.21	1.26	.01	.73	.10	.09	.007	.36
.77	.21	1.27	.07	.08	.16	.26	.01
.23	.08	.02	.01	.29	.01	.01	.07
.40	.002	.003	.01	.09	.16	.04	.27
.73	.41	.03	.12	.03	1.04	.06	.09
.73	.04	.16	.59	.003	.002	.02	.004
.01	.001	.06	.62	.01	.52	.11	.003
.6	.002	.05
