bill_type_bill_name_bill_ID	missing_votes	 Arlen Specter (PA)	 Barack H. Obama (IL)	 Barbara A. Mikulski (MD)	 Barbara Boxer (CA)	 Bill Nelson (FL)	 Blanche L. Lincoln (AR)	 Byron L. Dorgan (ND)	 C. Saxby Chambliss (GA)	 Carl Levin (MI)	 Charles E. 'Chuck' Grassley (IA)	 Charles E. 'Chuck' Schumer (NY)	 Charles T. 'Chuck' Hagel (NE)	 Christopher J. Dodd (CT)	 Christopher S. 'Kit' Bond (MO)	 Conrad R. Burns (MT)	 Craig Thomas (WY)	 Daniel K. Inouye (HI)	 Daniel Kahikina Akaka (HI)	 David B. Vitter (LA)	 Debbie Ann Stabenow (MI)	 Dianne Feinstein (CA)	 E. Benjamin 'Ben' Nelson (NE)	 Edward M. 'Ted' Kennedy (MA)	 Elizabeth H. Dole (NC)	 Evan Bayh (IN)	 Frank R. Lautenberg (NJ)	 George Felix Allen (VA)	 George V. Voinovich (OH)	 Gordon Harold Smith (OR)	 Harry M. Reid (NV)	 Herbert H. 'Herb' Kohl (WI)	 Hillary Rodham Clinton (NY)	 James M. 'Jim' Inhofe (OK)	 James M. 'Jim' Talent (MO)	 James Merrill 'Jim' Jeffords (VT)	 Jeff Bingaman (NM)	 Jefferson B. 'Jeff' Sessions III (AL)	 Jim Bunning (KY)	 Jim W. DeMint (SC)	 John Cornyn (TX)	 John D. 'Jay' Rockefeller IV (WV)	 John E. Sununu (NH)	 John Eric Ensign (NV)	 John F. 'Jack' Reed (RI)	 John Forbes Kerry (MA)	 John H. 'Johnny' Isakson (GA)	 John R. Thune (SD)	 John S. McCain (AZ)	 John W. Warner (VA)	 Jon Kyl (AZ)	 Joseph I. Lieberman (CT)	 Joseph R. Biden Jr. (DE)	 Judd A. Gregg (NH)	 Kay Bailey Hutchison (TX)	 Ken Salazar (CO)	 Kent Conrad (ND)	 Lamar Alexander (TN)	 Larry E. Craig (ID)	 Lincoln D. Chafee (RI)	 Lindsey O. Graham (SC)	 Lisa A. Murkowski (AK)	 Maria Cantwell (WA)	 Mark Dayton (MN)	 Mark Pryor (AR)	 Mary L. Landrieu (LA)	 Max S. Baucus (MT)	 Mel Martinez (FL)	 Michael B. Enzi (WY)	 Michael D. 'Mike' Crapo (ID)	 Michael 'Mike' DeWine (OH)	 Mitch McConnell (KY)	 Norm Coleman (MN)	 Olympia J. Snowe (ME)	 Orrin G. Hatch (UT)	 Pat Roberts (KS)	 Patrick J. Leahy (VT)	 Patty Murray (WA)	 Paul S. Sarbanes (MD)	 Pete V. Domenici (NM)	 Richard C. Shelby (AL)	 Richard G. Lugar (IN)	 Richard J. 'Dick' Durbin (IL)	 Richard J. 'Rick' Santorum (PA)	 Richard M. Burr (NC)	 Robert C. Byrd (WV)	 Robert F. Bennett (UT)	 Robert Menendez (NJ)	 Ron Wyden (OR)	 Russell D. Feingold (WI)	 Samuel D. 'Sam' Brownback (KS)	 Susan M. Collins (ME)	 Ted Stevens (AK)	 Thad Cochran (MS)	 Thomas Allen 'Tom' Coburn (OK)	 Thomas Richard Carper (DE)	 Thomas 'Tom' Harkin (IA)	 Tim P. Johnson (SD)	 Trent Lott (MS)	 Wayne A. Allard (CO)	 William H. 'Bill' Frist (TN)
Appropriations_Transit Security Amendment_3866	0	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	-1	1	-1	1	1	1	-1	-1	1	1	1	-1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	1	-1	1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
"Budget, Spending and Taxes_2007 Budget Resolution_3809"	0	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	1	1	1	-1	1	-1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	-1	1	1	1
"Budget, Spending and Taxes_Debt Limit Increase Resolution_3807"	0	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	-1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	1	1	1
"Budget, Spending and Taxes_Education Funding Amendment_3804"	0	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
"Budget, Spending and Taxes_Reinstate Pay-As-You-Go through 2011 Amendment_3806"	0	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
Civil Liberties_Flag Desecration Constitutional Amendment_3859	0	1	-1	-1	-1	1	1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	1	-1	1	1	-1	1	1	-1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	1	1
Energy Issues_ANWR Revenues Amendment_3805	0	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	-1	1	1	1
Energy Issues_LIHEAP Funding Amendment_3808	0	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
"Executive Branch_Samuel Alito, Associate Justice_3793"	0	1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	-1	-1	1	1	1	1
Foreign Aid and Policy Issues_National Defense Funding Amendment_3810	0	-1	-1	-1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	-1	-1	1	1	-1	1	-1	-1	-1	1	1	1	-1	1	-1	-1	-1	1	1	1
